,Time,xPosition,yPosition,xVelocity,yVelocity,ElasticPotential,GravitationalPotential,KineticEnergy,Energy
0,0.0,6.5,0.0,1.0,0.0,1.125,0.0,0.5,1.625
1,0.01,6.51,0.0,0.985,-0.01,1.1400499999999998,0.0,0.4851625,1.6252124999999997
2,0.02,6.51985,-0.0001,0.9699,-0.02,1.1549720124155551,-0.0001,0.4705530049999999,1.6254250174155551
3,0.03,6.529549,-0.00030000000000000003,0.9547014999941188,-0.0299997668888087,1.1697600822417646,-0.00030000000000000003,0.45617747005220155,1.6256375522939661
4,0.04,6.5390960149999415,-0.000599997668888087,0.9394060099413453,-0.03999906413781995,1.1844083140603179,-0.000599997668888087,0.4420417883229102,1.6258501047143399
5,0.05,6.548490075099355,-0.0009999883102662865,0.9240150495808693,-0.04999765193339337,1.1989108745704455,-0.0009999883102662865,0.4281517885253946,1.6260626747855738
6,0.060000000000000005,6.557730225595164,-0.00149996482960022,0.908530148246904,-0.059995287308855186,1.2132619950875596,-0.00149996482960022,0.4145132323864068,1.6262752626443664
7,0.07,6.566815527077633,-0.002099917702688772,0.8929528446829906,-0.06999172427611641,1.2274559740086368,-0.002099917702688772,0.4011318121472945,1.6264878684532424
8,0.08,6.575745055524463,-0.002799834945449936,0.8772846868557785,-0.07998671395690549,1.241487179243453,-0.002799834945449936,0.3880131481006326,1.6267004923986357
9,0.09,6.584517902393021,-0.0035997020850189907,0.8615272317682733,-0.08998000471361323,1.2553500506106836,-0.0035997020850189907,0.37516278616328297,1.6269131346889476
10,0.09999999999999999,6.593133174710704,-0.004499502132155123,0.8456820452725461,-0.09997134227974765,1.2690391021980514,-0.004499502132155123,0.3625861954867856,1.6271257955526817
11,0.10999999999999999,6.601589995163429,-0.0054992155549525995,0.8297507018818978,-0.10996046988999686,1.282548924685553,-0.0054992155549525995,0.35028876610596554,1.6273384752365658
12,0.11999999999999998,6.609887502182247,-0.006598820253852568,0.8137347845824728,-0.11994712840989823,1.2958741876309319,-0.006598820253852568,0.33827580662663204,1.6275511740037114
13,0.12999999999999998,6.618024850028072,-0.00779829153795155,0.7976358846443162,-0.12993105646511224,1.309009641716518,-0.00779829153795155,0.3265525419532306,1.627763892131797
14,0.13999999999999999,6.6260012088745155,-0.009097602102602673,0.7814556014318703,-0.13991199057029974,1.321950120956562,-0.009097602102602673,0.31512411105729493,1.6279766299112544
15,0.15,6.633815764888834,-0.01049672200830567,0.7651955422139054,-0.14988966525760108,1.3346905448642776,-0.01049672200830567,0.30399556478753414,1.628189387643506
16,0.16,6.641467720310973,-0.01199561866088168,0.748857321972881,-0.1598638132047165,1.3472259205776917,-0.01199561866088168,0.2931718637223738,1.6284021656391838
17,0.17,6.648956293530702,-0.013594256792928845,0.7324425632137339,-0.16983416536258622,1.359551344943576,-0.013594256792928845,0.2826578760657554,1.6286149642164027
18,0.18000000000000002,6.656280719162839,-0.015292598446554707,0.715952895772089,-0.17980045108266987,1.3716620065585903,-0.015292598446554707,0.27245837558698566,1.6288277836990213
19,0.19000000000000003,6.66344024812056,-0.017090602957381407,0.6993899566218906,-0.18976239824382407,1.3835531877669078,-0.017090602957381407,0.2625780396054088,1.6290406244149351
20,0.20000000000000004,6.6704341476867794,-0.018988226939819646,0.6827553896824518,-0.1997197333787778,1.3952202666135445,-0.018988226939819646,0.25302144702066337,1.6292534866943882
21,0.21000000000000005,6.677261701583604,-0.020985424273607424,0.666050845624918,-0.20967218180020467,1.4066587187526243,-0.020985424273607424,0.24379307638926326,1.6294663708682802
22,0.22000000000000006,6.683922210039853,-0.02308214609160947,0.6492779816781453,-0.2196194677263916,1.417864119309884,-0.02308214609160947,0.2348973040482348,1.6296792772665092
23,0.23000000000000007,6.6904149898566345,-0.02527834076887339,0.6324384614339886,-0.2295613144065034,1.4288321446986791,-0.02527834076887339,0.22633840228651614,1.629892206216322
24,0.24000000000000007,6.696739374470974,-0.02757395391293842,0.6155339546520011,-0.23949744424544275,1.439558574388783,-0.02757395391293842,0.21812053756481536,1.63010515804066
25,0.25000000000000006,6.702894714017495,-0.02996892835539285,0.5985661370635421,-0.24942757892830486,1.4500392926273344,-0.02996892835539285,0.21024776878460344,1.630318133056545
26,0.26000000000000006,6.70888037538813,-0.0324632041446759,0.5815366901752932,-0.25935143954442663,1.4602702901112157,-0.0324632041446759,0.2027240456069007,1.6305311315734403
27,0.2700000000000001,6.714695742289883,-0.035056718540120164,0.5644473010721817,-0.2692687467110297,1.4702476656102859,-0.035056718540120164,0.19555320682149935,1.630744153891665
28,0.2800000000000001,6.720340215300604,-0.03774940600723046,0.5472996622197107,-0.2791792206964565,1.4799676275407585,-0.03774940600723046,0.1887389787672451,1.630957200300773
29,0.2900000000000001,6.725813211922802,-0.04054119821419502,0.5300954712656969,-0.2890825815429996,1.4894264954881868,-0.04054119821419502,0.18228497380398315,1.631170271077975
30,0.3000000000000001,6.731114166635458,-0.04343202402962502,0.5128364308414142,-0.29897854918932265,1.4986207016794086,-0.04343202402962502,0.1761946888367564,1.63138336648654
31,0.3100000000000001,6.736242530943873,-0.04642180952151825,0.495524248362145,-0.30886684359247335,1.5075467924029293,-0.04642180952151825,0.17047150389282303,1.631596486774234
32,0.3200000000000001,6.741197773427494,-0.04951047795744298,0.47816063582713914,-0.3187471848494868,1.5162014293771284,-0.04951047795744298,0.16511868075204342,1.631809632171729
33,0.3300000000000001,6.745979379785766,-0.05269794980593785,0.4607473096189804,-0.32861929331857914,1.5245813910658197,-0.05269794980593785,0.1601393616311655,1.6320228028910473
