,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,KineticEnergy,Potential,Energy
20,0.4001,-1.80407464,0.38652042,1.0025424,0.8938083,0.38652042,1.80407464,0.8938083,-1.0025424,1.80407464,-0.38652042,-1.0025424,-0.8938083,-0.38652042,-1.80407464,-0.8938083,1.0025424,3.60796908,-20.75010469,-17.14213562
21,0.4201,-1.7834712,0.40427591,1.05794134,0.88159528,0.40427591,1.7834712,0.88159528,-1.05794134,1.7834712,-0.40427591,-1.05794134,-0.88159528,-0.40427591,-1.7834712,-0.88159528,1.05794134,3.79290024,-20.93503586,-17.14213561
22,0.4401,-1.76175118,0.42177823,1.11421114,0.86848245,0.42177823,1.76175118,0.86848245,-1.11421114,1.76175118,-0.42177823,-1.11421114,-0.86848245,-0.42177823,-1.76175118,-0.86848245,1.11421114,3.9914565,-21.13359211,-17.14213561
23,0.4601,-1.7388965,0.43900884,1.17141983,0.85441333,0.43900884,1.7388965,0.85441333,-1.17141983,1.7388965,-0.43900884,-1.17141983,-0.85441333,-0.43900884,-1.7388965,-0.85441333,1.17141983,4.2044931,-21.34662871,-17.14213561
24,0.4801,-1.71488765,0.45594797,1.22964034,0.83932495,0.45594797,1.71488765,0.83932495,-1.22964034,1.71488765,-0.45594797,-1.22964034,-0.83932495,-0.45594797,-1.71488765,-0.83932495,1.22964034,4.43296345,-21.57509906,-17.14213561
25,0.5001,-1.68970362,0.47257457,1.28895114,0.823147,0.47257457,1.68970362,0.823147,-1.28895114,1.68970362,-0.47257457,-1.28895114,-0.823147,-0.47257457,-1.68970362,-0.823147,1.28895114,4.67793207,-21.82006768,-17.14213561
26,0.5201,-1.66332177,0.48886607,1.3494369,0.80580085,0.48886607,1.66332177,0.80580085,-1.3494369,1.66332177,-0.48886607,-1.3494369,-0.80580085,-0.48886607,-1.66332177,-0.80580085,1.3494369,4.9405899,-22.0827255,-17.14213561
27,0.5401,-1.6357177,0.50479823,1.41118919,0.7871983,0.50479823,1.6357177,0.7871983,-1.41118919,1.6357177,-0.50479823,-1.41118919,-0.7871983,-0.50479823,-1.6357177,-0.7871983,1.41118919,5.22227219,-22.3644078,-17.1421356
28,0.5601,-1.6068651,0.52034497,1.47430741,0.76724024,0.52034497,1.6068651,0.76724024,-1.47430741,1.6068651,-0.52034497,-1.47430741,-0.76724024,-0.52034497,-1.6068651,-0.76724024,1.47430741,5.52447982,-22.66661542,-17.1421356
29,0.5801,-1.57673558,0.53547806,1.5388997,0.74581495,0.53547806,1.57673558,0.74581495,-1.5388997,1.57673558,-0.53547806,-1.5388997,-0.74581495,-0.53547806,-1.57673558,-0.74581495,1.5388997,5.84890448,-22.99104008,-17.1421356
30,0.6002,-1.54513797,0.55023922,1.6054193,0.72267678,0.55023922,1.54513797,0.72267678,-1.6054193,1.54513797,-0.55023922,-1.6054193,-0.72267678,-0.55023922,-1.54513797,-0.72267678,1.6054193,6.19926574,-23.34140134,-17.1421356
31,0.6202,-1.51235342,0.56444813,1.67333419,0.69791203,0.56444813,1.51235342,0.69791203,-1.67333419,1.51235342,-0.56444813,-1.67333419,-0.69791203,-0.56444813,-1.51235342,-0.69791203,1.67333419,6.57425701,-23.7163926,-17.14213559
32,0.6402,-1.47819218,0.57814303,1.74311332,0.6712464,0.57814303,1.47819218,0.6712464,-1.74311332,1.47819218,-0.57814303,-1.74311332,-0.6712464,-0.57814303,-1.47819218,-0.6712464,1.74311332,6.97803157,-24.12016716,-17.14213559
33,0.6602,-1.44261542,0.59128408,1.81491332,0.64249324,0.59128408,1.44261542,0.64249324,-1.81491332,1.44261542,-0.59128408,-1.81491332,-0.64249324,-0.59128408,-1.44261542,-0.64249324,1.81491332,7.41341586,-24.55555144,-17.14213558
34,0.6802,-1.40558102,0.60382742,1.88890736,0.6114382,0.60382742,1.40558102,0.6114382,-1.88890736,1.40558102,-0.60382742,-1.88890736,-0.6114382,-0.60382742,-1.40558102,-0.6114382,1.88890736,7.88365539,-25.02579096,-17.14213558
35,0.7002,-1.36704322,0.61572462,1.96528757,0.577834,0.61572462,1.36704322,0.577834,-1.96528757,1.36704322,-0.61572462,-1.96528757,-0.577834,-0.61572462,-1.36704322,-0.577834,1.96528757,8.39249473,-25.5346303,-17.14213557
36,0.7202,-1.32695219,0.62692189,2.04426785,0.54139383,0.62692189,1.32695219,0.54139383,-2.04426785,1.32695219,-0.62692189,-2.04426785,-0.54139383,-0.62692189,-1.32695219,-0.54139383,2.04426785,8.94427669,-26.08641225,-17.14213556
37,0.7402,-1.28525359,0.63735925,2.12608721,0.50178319,0.63735925,1.28525359,0.50178319,-2.12608721,1.28525359,-0.63735925,-2.12608721,-0.50178319,-0.63735925,-1.28525359,-0.50178319,2.12608721,9.5440664,-26.68620195,-17.14213555
38,0.7602,-1.241888,0.64696948,2.21101361,0.45860953,0.64696948,1.241888,0.45860953,-2.21101361,1.241888,-0.64696948,-2.21101361,-0.45860953,-0.64696948,-1.241888,-0.45860953,2.21101361,10.19780781,-27.33994335,-17.14213554
39,0.7802,-1.19679033,0.65567681,2.29934862,0.4114091,0.65567681,1.19679033,0.4114091,-2.29934862,1.19679033,-0.65567681,-2.29934862,-0.4114091,-0.65567681,-1.19679033,-0.4114091,2.29934862,10.91252309,-28.05465862,-17.14213553
40,0.8002,-1.14988907,0.66339534,2.3914328,0.35963001,0.66339534,1.14988907,0.35963001,-2.3914328,1.14988907,-0.66339534,-2.3914328,-0.35963001,-0.66339534,-1.14988907,-0.35963001,2.3914328,11.69656919,-28.83870471,-17.14213551
41,0.8202,-1.10110546,0.6700271,2.4876521,0.30261014,0.6700271,1.10110546,0.30261014,-2.4876521,1.10110546,-0.6700271,-2.4876521,-0.30261014,-0.6700271,-1.10110546,-0.30261014,2.4876521,12.55997169,-29.70210718,-17.14213549
42,0.8402,-1.05035251,0.67545951,2.58844527,0.23954818,0.67545951,1.05035251,0.23954818,-2.58844527,1.05035251,-0.67545951,-2.58844527,-0.23954818,-0.67545951,-1.05035251,-0.23954818,2.58844527,13.51486445,-30.65699992,-17.14213547
43,0.8602,-0.99753384,0.67956227,2.69431251,0.1694648,0.67956227,0.99753384,0.1694648,-2.69431251,0.99753384,-0.67956227,-2.69431251,-0.1694648,-0.67956227,-0.99753384,-0.1694648,2.69431251,14.57607646,-31.71821191,-17.14213544
44,0.8802,-0.94254239,0.68218329,2.80582516,0.09115022,0.68218329,0.94254239,0.09115022,-2.80582516,0.94254239,-0.68218329,-2.80582516,-0.09115022,-0.68218329,-0.94254239,-0.09115022,2.80582516,15.76192643,-32.90406184,-17.14213541
