,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,xPosition4,yPosition4,xVelocity4,yVelocity4,xPosition5,yPosition5,xVelocity5,yVelocity5,xPosition6,yPosition6,xVelocity6,yVelocity6,xPosition7,yPosition7,xVelocity7,yVelocity7,xPosition8,yPosition8,xVelocity8,yVelocity8,xPosition9,yPosition9,xVelocity9,yVelocity9,KineticEnergy,Potential,Energy
0,0.0,-2.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,-2.0,0.0,-1.0,2.0,3.8,-1.0,0.0,-7.0,-1.7,-1.5,0.7,6.0,2.6,1.7,-0.7,4.0,1.3,-1.7,1.3,1.5,6.2,1.5,1.5,4.3,0.0,-2.3,-1.3,0.0,-2.0,2.3,-1.5,16.86,-113.86751519,-97.00751519
1,0.02,-1.99949443,0.01983207,0.05041398,0.98333568,3.02219632,1.00023208,1.22227665,0.02455263,0.99808661,-2.01953293,-0.19491596,-0.95368909,1.98020548,3.79967799,-0.97929388,-0.03225046,-7.02977659,-1.68594612,-1.47769488,0.70537184,6.03318829,2.58556902,1.61896276,-0.74271949,3.96438742,1.32462287,-1.86434779,1.16104349,1.530141,6.22937189,1.51393093,1.43726666,4.25294704,-0.02427448,-2.40499334,-1.12799922,0.04811888,-2.02955239,2.51566153,-1.45491203,17.45433187,-114.4618361,-97.00750423
2,0.04,-1.99798878,0.03933842,0.10002534,0.96742244,3.04901077,1.00104584,1.46260307,0.05874662,0.99203571,-2.03816623,-0.41516165,-0.91020273,1.96083452,3.79870778,-0.95764373,-0.06483212,-7.05910919,-1.67178574,-1.4555996,0.71065106,6.064764,2.57030584,1.53875024,-0.7832412,3.92529137,1.34637526,-2.04901082,1.0120357,1.56055065,6.25749378,1.52687069,1.37500146,4.20380917,-0.04513459,-2.50863935,-0.95819877,0.10080178,-2.05818036,2.7578058,-1.40738247,18.42897825,-115.4364637,-97.00748546
3,0.06,-1.99549813,0.0585337,0.14892773,0.95222214,3.08085704,1.00267538,1.72655468,0.10709421,0.98124212,-2.05596846,-0.67142085,-0.87087546,1.94190598,3.79708206,-0.93505394,-0.09781233,-7.08800195,-1.65752068,-1.43371026,0.71584048,6.0947441,2.55425318,1.45941018,-0.82168727,3.88225953,1.36499477,-2.25893964,0.84645208,1.59120948,6.28437514,1.53885646,1.31321527,4.15260535,-0.06260269,-2.61169134,-0.78843528,0.15867646,-2.0858224,3.03706698,-1.35601385,19.90225239,-116.90970454,-97.00745216
4,0.08,-1.9920358,0.0774318,0.19720857,0.93769759,3.11828196,1.00547397,2.02206152,0.17735153,0.9648246,-2.07304489,-0.981411,-0.8381907,1.92343855,3.79479219,-0.91153477,-0.13125821,-7.11645894,-1.6431527,-1.41202278,0.72094288,6.12314646,2.5374513,1.38097979,-0.85818534,3.83471641,1.38005922,-2.5016945,0.65447773,1.6220988,6.31002563,1.54992469,1.25191665,4.09934221,-0.07665756,-2.71462669,-0.61649631,0.22264576,-2.11237896,3.37111516,-1.29825582,22.08244689,-119.08983505,-97.00738816
5,0.1,-1.98761337,0.09604586,0.24495035,0.92381204,3.1620268,1.01000667,2.36099508,0.28371447,0.94141862,-2.08957321,-1.37776728,-0.81731827,1.90545066,3.79182818,-0.88710371,-0.16523746,-7.14448417,-1.62868352,-1.3905329,0.72596103,6.14998951,2.51993783,1.30348383,-0.89286931,3.7818965,1.3908923,-2.78908552,0.41972319,1.65320061,6.33445509,1.56011076,1.19111213,4.04402001,-0.08723249,-2.81758842,-0.44003176,0.29409484,-2.13767671,3.79253781,-1.22886607,25.36968137,-122.37692864,-97.00724727
6,0.12,-1.98224084,0.11438828,0.29223209,0.91052828,3.21313318,1.01724417,2.7622104,0.45453001,0.908694,-2.10589656,-1.93081045,-0.82109365,1.88796029,3.78817869,-0.86178791,-0.19981903,-7.17208154,-1.6141148,-1.36923612,0.73089771,6.17529209,2.50174765,1.22693207,-0.9258808,3.72273115,1.39636639,-3.1403482,0.1114694,1.68449759,6.35767344,1.56944853,1.13080667,3.98664055,-0.09421194,-2.92024449,-0.25651032,0.37537354,-2.16137533,4.37160408,-1.13492826,30.65802301,-127.66487848,-97.00685547
7,0.14,-1.97592664,0.13247073,0.33913103,0.89780682,3.27313548,1.02902301,3.25745161,0.75399692,0.86192462,-2.12284328,-2.83925906,-0.89313502,1.87098475,3.78383095,-0.83562872,-0.23507323,-7.19925487,-1.59944814,-1.34812747,0.73575566,6.19907302,2.48291271,1.15131506,-0.957372,3.65564488,1.39443926,-3.58829338,-0.33695985,1.71597312,6.3796907,1.5779698,1.07100433,3.92721909,-0.09742839,-3.02153097,-0.06329414,0.47122655,-2.18264756,5.30697211,-0.9727295,40.59214969,-137.59725337,-97.00510368
8,0.16,-1.96867763,0.15030399,0.38572507,0.88560089,3.34440322,1.04935717,3.89924178,1.35901447,0.78688717,-2.14375366,-5.18988431,-1.36312189,1.85454033,3.77877082,-0.8086906,-0.27106911,-7.22600786,-1.58468508,-1.32720124,0.7405377,6.22135067,2.46346177,1.07659525,-0.98751133,3.57819597,1.38084334,-4.18756737,-1.10466227,1.74761115,6.40051699,1.58570376,1.0117096,3.86580263,-0.0966633,-3.11925785,0.14196966,0.59589435,-2.19815204,7.68533549,-0.41246773,71.61354115,-168.5814575,-96.96791635
9,0.18,-1.96049924,0.16789776,0.43205105,0.87386173,3.43022029,1.08947454,4.68055241,2.95098268,0.53089917,-2.39286461,-16.92557117,-21.59293632,1.83864163,3.77298287,-0.78107559,-0.30786671,-7.25234408,-1.56982712,-1.30644889,0.74524439,6.24214221,2.44341994,1.00267781,-1.01649922,3.4869721,1.34406458,-4.93468993,-2.87384635,1.77939621,6.42016251,1.59267767,0.95292916,3.80249653,-0.09166306,-3.20980966,0.36008184,0.90207517,-1.98364741,19.4496363,19.90804881,805.20393637,-150.26063854,654.94329782
10,0.2,-1.95140232,0.18526558,0.47736527,0.86320299,3.51474085,1.19432253,1.7647608,8.26922006,0.19448264,-2.82209871,-16.76867095,-21.38873997,1.82330117,3.76644982,-0.75287798,-0.34560828,-7.27826689,-1.55487608,-1.28585946,0.74983433,6.2614609,2.42280743,0.92921357,-1.04463815,3.39760391,1.23887811,-1.99782132,-8.38197343,1.81131354,6.43863746,1.59894299,0.89464528,3.73747439,-0.08220194,-3.29108723,0.58665971,1.2892918,-1.5871842,19.32603431,19.79739747,835.10215739,-180.2745974,654.82756
11,0.22,-1.9414187,0.20244022,0.52058314,0.85468246,3.45923566,1.32723201,-4.61534204,3.99676591,-0.14046349,-3.24911384,-16.73113107,-21.31901584,1.80853124,3.75915161,-0.72394066,-0.3844324,-7.30377954,-1.53983503,-1.26543356,0.75423299,6.27930969,2.40163901,0.85563263,-1.07207932,3.44855799,1.10170029,4.39140196,-4.31525609,1.84334987,6.45595127,1.60459705,0.83680071,3.67085628,-0.06816984,-3.37166624,0.8185036,1.675821,-1.1909957,19.33529879,19.82979798,798.86264159,-143.94762487,654.91501671
12,0.24,-1.9305964,0.21947092,0.56120245,0.84885681,3.37040279,1.37939972,-4.16235053,1.64225128,-0.47487288,-3.67500158,-16.71135241,-21.27197435,1.79435188,3.75106113,-0.69376181,-0.42495209,-7.32888541,-1.52470846,-1.24518539,0.75837656,6.29568484,2.37992816,0.78182424,-1.09894245,3.53286107,1.04082646,3.92884285,-2.20126221,1.87549397,6.47211171,1.60973285,0.77929257,3.60256017,-0.04936131,-3.45983821,1.06459075,2.06299996,-0.79372674,19.39088595,19.90376314,783.09013071,-128.17941776,654.91071296
13,0.26,-1.91898757,0.23641291,0.59927988,0.84579014,3.29281405,1.40132308,-3.61967432,0.65507496,-0.80895798,-4.10005701,-16.69784537,-21.2347977,1.78079098,3.74213892,-0.66204192,-0.46765835,-7.3535883,-1.50950199,-1.2251401,0.76221619,6.31057866,2.3576824,0.70740626,-1.12564044,3.60540556,1.00493425,3.34132671,-1.50234721,1.90773623,6.48712476,1.61442628,0.72205419,3.53228666,-0.02553632,-3.5770216,1.31794593,2.4519217,-0.39452101,19.51928419,20.02736229,781.01288912,-126.10245388,654.91043525
14,0.28,-1.90663972,0.25331918,0.63517779,0.84522413,3.22472756,1.40803415,-3.20794973,0.04939113,-1.14280705,-4.5244333,-16.68745204,-21.20366471,1.76788311,3.73233897,-0.62837702,-0.51273361,-7.37789261,-1.49422205,-1.20533471,0.76571937,6.32397265,2.33490093,0.63170728,-1.15258305,3.66702776,0.97781038,2.82780448,-1.26069727,1.9400687,6.50099535,1.61877034,0.66503854,3.45850376,0.0033721,-3.85788877,1.58112199,2.84515584,0.0078843,19.87354237,20.22318348,788.93436009,-134.02167027,654.91268982
15,0.3,-1.89359182,0.27023592,0.66936701,0.8467689,3.16395196,1.40391855,-2.87533393,-0.46055819,-1.47646853,-4.94823199,-16.67895282,-21.17682235,1.75567234,3.72161476,-0.59224182,-0.5600187,-7.40180359,-1.47887554,-1.18581567,0.76887291,6.33583181,2.31157449,0.55370916,-1.18022066,3.7183866,0.95273617,2.28738847,-1.29816207,1.97248546,6.51372756,1.62287597,0.60821308,3.37362337,0.04155255,-4.63903348,2.49618674,3.25191241,0.41174754,20.83803711,19.95574034,805.38958742,-150.48695341,654.90263401
16,0.32,-1.87987317,0.28720128,0.70233309,0.85002256,3.11011851,1.38936371,-2.48137616,-0.99158924,-1.80997375,-5.37152779,-16.67175299,-21.15323765,1.74421273,3.709928,-0.55322478,-0.60882471,-7.42532747,-1.46346941,-1.16663284,0.77168454,6.34609451,2.28768349,0.47168191,-1.20916108,3.75405216,0.91971603,0.63404654,-2.85297078,2.00498299,6.52532512,1.62686857,0.55157595,3.28139485,0.10337876,-4.50445864,3.51024539,3.67431864,0.8124008,21.9425153,21.13225502,855.11572576,-199.48217748,655.63354828
17,0.34,-1.86550364,0.30424585,0.73452108,0.85463311,3.06520992,1.36545999,-2.03016327,-1.35769892,-2.14334492,-5.79437854,-16.66549782,-21.13222295,1.73356229,3.69725968,-0.51136422,-0.65792009,-7.44847146,-1.44801025,-1.14783366,0.77418223,6.35465027,2.26319451,0.38213425,-1.24007381,3.77380964,0.75692686,1.86060648,-7.72090542,2.03756036,6.53579209,1.63089026,0.49516235,3.19359012,0.17879792,-4.27401877,4.00834108,4.09893741,1.34071189,20.02072566,25.97650242,955.88046472,-131.91859247,823.96187224
18,0.36,-1.8504953,0.3213935,0.76626016,0.86028336,3.02765114,1.33589635,-1.75204539,-1.59436561,-2.47659824,-6.21683055,-16.6599323,-21.11329466,1.72377383,3.68362027,-0.46718648,-0.70566734,-7.47124365,-1.43250394,-1.12945964,0.77640801,6.36127819,2.23807513,0.27707446,-1.27156444,3.8082784,0.60449463,1.55371084,-7.56218698,2.0702202,6.54513339,1.63515315,0.43901931,3.11079631,0.26320035,-3.99477985,4.42023255,4.49633911,1.85752087,19.77120505,25.7511358,943.2686232,-119.31444967,823.95417353
19,0.38,-1.83485455,0.33866249,0.7977997,0.86673361,2.99441327,1.30158981,-1.58391191,-1.84255441,-2.80974557,-6.63892189,-16.65487411,-21.09610837,1.71488088,3.66905019,-0.42211192,-0.75086824,-7.49365287,-1.41695538,-1.11154078,0.77841603,6.36554081,2.21239013,0.14324385,-1.29347324,3.83544963,0.45417391,1.16279196,-7.46284753,2.10296953,6.5533554,1.63987163,0.38326052,3.03404476,0.35509641,-3.68058305,4.75718789,4.89095411,2.37155895,19.70931462,25.66025374,938.48231117,-114.52904152,823.95326965
20,0.4,-1.81858331,0.356067,0.82933853,0.87381039,2.96393019,1.26182837,-1.47181101,-2.14618542,-3.14279569,-7.06068478,-16.65019123,-21.08041241,1.70688339,3.65360349,-0.37791338,-0.79340338,-7.51570841,-1.40136834,-1.09409143,0.78026662,6.36680086,2.18660198,-0.01911436,-1.27567993,3.85507542,0.30634606,0.81214186,-7.31202286,2.13581915,6.56046781,1.64519962,0.3281057,2.96332782,0.45319628,-3.40124688,5.05266417,5.28525057,2.88394215,19.72768829,25.57285711,935.61620778,-111.66331882,823.95288896
21,0.42,-1.80167996,0.37361823,0.86103364,0.88138867,2.93526046,1.21504287,-1.40285633,-2.55698773,-3.47575508,-7.48214704,-16.64578904,-21.06601835,1.69975005,3.63732641,-0.33583509,-0.83408913,-7.53741965,-1.38574536,-1.0771099,0.78201991,6.36495177,2.16170224,-0.15641612,-1.21042104,3.86848776,0.16188299,0.54284849,-7.1324919,2.16878181,6.56648571,1.65116708,0.27386768,2.89757812,0.55757647,-3.18237011,5.40574045,5.68004472,3.39425747,19.74532739,25.45699144,933.10399616,-109.15065403,823.95334212
