,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,KineticEnergy,Potential,Energy
0,0.0,3.0,0.0,0.7071,0.7071,-3.0,0.0,-0.7071,-0.7071,5.99988492,-60.0,-54.00011508
1,0.02,3.01380944,0.01414161,0.67392064,0.70702225,-3.01380944,-0.01414161,-0.67392064,-0.70702225,5.72429692,-59.72441919,-54.00012228
2,0.04,3.02695831,0.02828013,0.64103893,0.70679158,-3.02695831,-0.02828013,-0.64103893,-0.70679158,5.4629115,-59.46304046,-54.00012896
3,0.06,3.03945241,0.04241253,0.60843885,0.70641193,-3.03945241,-0.04241253,-0.60843885,-0.70641193,5.21529386,-59.21542903,-54.00013516
4,0.08,3.0512972,0.05653588,0.57610501,0.70588686,-3.0512972,-0.05653588,-0.57610501,-0.70588686,4.98103949,-58.98118041,-54.00014092
5,0.1,3.06249786,0.07064729,0.54402261,0.70521967,-3.06249786,-0.07064729,-0.54402261,-0.70521967,4.75977227,-58.75991853,-54.00014627
6,0.12,3.07305929,0.08474397,0.51217735,0.70441333,-3.07305929,-0.08474397,-0.51217735,-0.70441333,4.55114273,-58.55129394,-54.00015122
7,0.14,3.08298608,0.09882314,0.48055547,0.70347058,-3.08298608,-0.09882314,-0.48055547,-0.70347058,4.35482649,-58.35498229,-54.0001558
8,0.16,3.09228256,0.11288212,0.44914363,0.70239386,-3.09228256,-0.11288212,-0.44914363,-0.70239386,4.1705228,-58.17068284,-54.00016003
9,0.18,3.10095281,0.12691824,0.41792893,0.70118539,-3.10095281,-0.12691824,-0.41792893,-0.70118539,3.99795325,-57.99811719,-54.00016394
10,0.2,3.10900064,0.14092889,0.38689886,0.69984715,-3.10900064,-0.14092889,-0.38689886,-0.69984715,3.83686056,-57.8370281,-54.00016754
11,0.22,3.11642962,0.15491149,0.35604128,0.69838089,-3.11642962,-0.15491149,-0.35604128,-0.69838089,3.68700754,-57.68717839,-54.00017084
12,0.24,3.12324309,0.16886349,0.32534436,0.69678815,-3.12324309,-0.16886349,-0.32534436,-0.69678815,3.54817611,-57.54834998,-54.00017387
13,0.26,3.12944414,0.18278239,0.2947966,0.69507028,-3.12944414,-0.18278239,-0.2947966,-0.69507028,3.4201664,-57.42034302,-54.00017662
14,0.28,3.13503565,0.19666568,0.26438675,0.69322842,-3.13503565,-0.19666568,-0.26438675,-0.69322842,3.30279596,-57.30297509,-54.00017913
15,0.3,3.14002025,0.21051091,0.23410384,0.69126351,-3.14002025,-0.21051091,-0.23410384,-0.69126351,3.19589908,-57.19608046,-54.00018138
16,0.32,3.14440038,0.22431561,0.20393712,0.68917632,-3.14440038,-0.22431561,-0.20393712,-0.68917632,3.09932609,-57.09950949,-54.0001834
17,0.34,3.14817826,0.23807735,0.17387605,0.68696744,-3.14817826,-0.23807735,-0.17387605,-0.68696744,3.01294284,-57.01312804,-54.0001852
18,0.36,3.1513559,0.2517937,0.14391028,0.68463727,-3.1513559,-0.2517937,-0.14391028,-0.68463727,2.93663016,-56.93681693,-54.00018677
19,0.38,3.1539351,0.26546224,0.11402962,0.68218606,-3.1539351,-0.26546224,-0.11402962,-0.68218606,2.87028345,-56.87047158,-54.00018813
20,0.4,3.15591746,0.27908054,0.08422404,0.67961387,-3.15591746,-0.27908054,-0.08422404,-0.67961387,2.81381225,-56.81400153,-54.00018928
21,0.42,3.15730439,0.29264619,0.05448364,0.67692062,-3.15730439,-0.29264619,-0.05448364,-0.67692062,2.76713993,-56.76733016,-54.00019023
22,0.44,3.15809708,0.30615676,0.02479862,0.67410602,-3.15809708,-0.30615676,-0.02479862,-0.67410602,2.73020341,-56.73039439,-54.00019098
23,0.46,3.15829656,0.31960982,-0.00484073,0.67116967,-3.15829656,-0.31960982,0.00484073,-0.67116967,2.70295294,-56.70314447,-54.00019153
24,0.48,3.15790363,0.33300293,-0.03444403,0.66811096,-3.15790363,-0.33300293,0.03444403,-0.66811096,2.6853519,-56.68554378,-54.00019188
25,0.5,3.15691893,0.34633364,-0.06402085,0.66492915,-3.15691893,-0.34633364,0.06402085,-0.66492915,2.67737668,-56.67756872,-54.00019204
26,0.52,3.15534288,0.35959948,-0.09358072,0.66162332,-3.15534288,-0.35959948,0.09358072,-0.66162332,2.67901658,-56.67920859,-54.00019201
27,0.54,3.15317574,0.37279795,-0.12313314,0.65819237,-3.15317574,-0.37279795,0.12313314,-0.65819237,2.69027381,-56.69046559,-54.00019178
28,0.56,3.15041755,0.38592654,-0.15268761,0.65463507,-3.15041755,-0.38592654,0.15268761,-0.65463507,2.71116346,-56.71135482,-54.00019136
29,0.58,3.14706818,0.39898271,-0.18225364,0.65094997,-3.14706818,-0.39898271,0.18225364,-0.65094997,2.74171356,-56.7419043,-54.00019074
30,0.6,3.1431273,0.41196389,-0.21184077,0.6471355,-3.1431273,-0.41196389,0.21184077,-0.6471355,2.78196519,-56.78215512,-54.00018993
31,0.62,3.13859439,0.42486748,-0.24145856,0.64318987,-3.13859439,-0.42486748,0.24145856,-0.64318987,2.83197264,-56.83216156,-54.00018891
32,0.64,3.13346875,0.43769082,-0.27111665,0.63911112,-3.13346875,-0.43769082,0.27111665,-0.63911112,2.89180358,-56.89199127,-54.00018769
33,0.66,3.12774948,0.45043125,-0.30082476,0.63489712,-3.12774948,-0.45043125,0.30082476,-0.63489712,2.96153932,-56.96172558,-54.00018626
34,0.68,3.12143546,0.46308602,-0.3305927,0.63054552,-3.12143546,-0.46308602,0.3305927,-0.63054552,3.0412751,-57.04145971,-54.00018461
35,0.7,3.11452542,0.47565237,-0.36043039,0.62605379,-3.11452542,-0.47565237,0.36043039,-0.62605379,3.13112045,-57.13130319,-54.00018274
36,0.72,3.10701785,0.48812746,-0.39034789,0.62141918,-3.10701785,-0.48812746,0.39034789,-0.62141918,3.2311996,-57.23138024,-54.00018064
37,0.74,3.09891105,0.5005084,-0.4203554,0.61663873,-3.09891105,-0.5005084,0.4203554,-0.61663873,3.34165193,-57.34183023,-54.0001783
38,0.76,3.09020313,0.51279226,-0.4504633,0.61170927,-3.09020313,-0.51279226,0.4504633,-0.61170927,3.46263251,-57.46280823,-54.00017571
39,0.78,3.08089197,0.52497601,-0.48068217,0.60662737,-3.08089197,-0.52497601,0.48068217,-0.60662737,3.5943127,-57.59448557,-54.00017287
40,0.8,3.07097524,0.53705658,-0.51102279,0.60138937,-3.07097524,-0.53705658,0.51102279,-0.60138937,3.73688079,-57.73705054,-54.00016975
41,0.82,3.06045039,0.54903079,-0.54149619,0.59599134,-3.06045039,-0.54903079,0.54149619,-0.59599134,3.89054278,-57.89070913,-54.00016635
42,0.84,3.04931467,0.56089541,-0.57211364,0.59042909,-3.04931467,-0.56089541,0.57211364,-0.59042909,4.05552317,-58.05568581,-54.00016264
43,0.86,3.03756507,0.57264711,-0.60288671,0.58469815,-3.03756507,-0.57264711,0.60288671,-0.58469815,4.23206588,-58.23222451,-54.00015863
44,0.88,3.02519836,0.58428247,-0.63382729,0.57879372,-3.02519836,-0.58428247,0.63382729,-0.57879372,4.42043527,-58.42058955,-54.00015427
45,0.9,3.01221108,0.59579796,-0.6649476,0.57271072,-3.01221108,-0.59579796,0.6649476,-0.57271072,4.62091724,-58.62106681,-54.00014957
46,0.92,2.9985995,0.60718998,-0.69626021,0.5664437,-2.9985995,-0.60718998,0.69626021,-0.5664437,4.83382045,-58.83396494,-54.00014449
47,0.94,2.98435964,0.61845476,-0.72777813,0.55998685,-2.98435964,-0.61845476,0.72777813,-0.55998685,5.05947767,-59.05961668,-54.00013901
48,0.96,2.96948728,0.62958847,-0.75951478,0.55333399,-2.96948728,-0.62958847,0.75951478,-0.55333399,5.29824728,-59.29838037,-54.0001331
49,0.98,2.95397789,0.64058711,-0.79148406,0.54647854,-2.95397789,-0.64058711,0.79148406,-0.54647854,5.55051486,-59.55064159,-54.00012673
50,1.0,2.93782668,0.65144656,-0.82370037,0.53941345,-2.93782668,-0.65144656,0.82370037,-0.53941345,5.81669505,-59.81681493,-54.00011988
51,1.02,2.92102856,0.66216256,-0.85617868,0.53213123,-2.92102856,-0.66216256,0.85617868,-0.53213123,6.09723347,-60.09734597,-54.0001125
52,1.04,2.90357815,0.67273069,-0.88893453,0.52462389,-2.90357815,-0.67273069,0.88893453,-0.52462389,6.39260892,-60.39271348,-54.00010456
53,1.06,2.88546971,0.68314635,-0.92198412,0.51688289,-2.88546971,-0.68314635,0.92198412,-0.51688289,6.7033358,-60.70343181,-54.00009601
54,1.08,2.86669723,0.69340479,-0.95534435,0.50889911,-2.86669723,-0.69340479,0.95534435,-0.50889911,7.02996674,-61.03005354,-54.0000868
55,1.1,2.8472543,0.70350105,-0.98903286,0.50066281,-2.8472543,-0.70350105,0.98903286,-0.50066281,7.37309551,-61.37317239,-54.00007689
56,1.12,2.82713418,0.71342999,-1.02306812,0.4921636,-2.82713418,-0.71342999,1.02306812,-0.4921636,7.73336029,-61.73342649,-54.0000662
57,1.14,2.80632974,0.72318623,-1.05746946,0.48339033,-2.80632974,-0.72318623,1.05746946,-0.48339033,8.11144723,-62.11150191,-54.00005468
58,1.16,2.78483347,0.73276417,-1.09225719,0.47433108,-2.78483347,-0.73276417,1.09225719,-0.47433108,8.50809441,-62.50813666,-54.00004225
59,1.18,2.76263742,0.74215798,-1.12745262,0.46497309,-2.76263742,-0.74215798,1.12745262,-0.46497309,8.92409625,-62.92412509,-54.00002884
60,1.2,2.73973321,0.75136153,-1.1630782,0.45530265,-2.73973321,-0.75136153,1.1630782,-0.45530265,9.36030842,-63.36032276,-54.00001434
61,1.22,2.71611202,0.76036845,-1.1991576,0.44530505,-2.71611202,-0.76036845,1.1991576,-0.44530505,9.81765323,-63.8176519,-53.99999867
62,1.24,2.69176452,0.76917202,-1.23571579,0.43496449,-2.69176452,-0.76917202,1.23571579,-0.43496449,10.29712579,-64.29710749,-53.99998169
63,1.26,2.66668086,0.77776523,-1.27277919,0.42426397,-2.66668086,-0.77776523,1.27277919,-0.42426397,10.79980073,-64.79976403,-53.9999633
