,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,xPosition4,yPosition4,xVelocity4,yVelocity4,xPosition5,yPosition5,xVelocity5,yVelocity5,xPosition6,yPosition6,xVelocity6,yVelocity6,xPosition7,yPosition7,xVelocity7,yVelocity7,xPosition8,yPosition8,xVelocity8,yVelocity8,xPosition9,yPosition9,xVelocity9,yVelocity9,KineticEnergy,Potential,Energy
0,0.0,-2.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,-2.0,0.0,-1.0,2.0,3.8,-1.0,0.0,-7.0,-1.7,-1.5,0.7,6.0,2.6,1.7,-0.7,4.0,1.3,-1.7,1.3,1.5,6.2,1.5,1.5,4.3,0.0,-2.3,-1.3,0.0,-2.0,2.3,-1.5,16.86,-113.86751519,-97.00751519
1,0.02,-1.99950338,0.01983829,0.04952841,0.98394825,3.02180269,1.00015947,1.18189574,0.01682166,0.99850906,-2.0195382,-0.15127373,-0.95412863,1.98020146,3.79967725,-0.97970398,-0.03231898,-7.02977768,-1.68594638,-1.47780333,0.70534627,6.03320886,2.58558235,1.62100663,-0.74140776,3.96469589,1.32485032,-1.83243737,1.18412123,1.5301377,6.22938672,1.51360775,1.43874313,4.25302843,-0.02444827,-2.39688395,-1.14521847,0.04769698,-2.02956155,2.47206384,-1.45590668,17.26447164,-114.44161699,-97.17714535
2,0.04,-1.99802389,0.03936259,0.09830293,0.96859569,3.0473468,1.00071344,1.37444591,0.0397526,0.99385035,-2.03817934,-0.31738884,-0.91039567,1.96081784,3.79870526,-0.95850748,-0.06493547,-7.05911351,-1.67178676,-1.45581367,0.71060062,6.06484523,2.57035758,1.54275837,-0.78073176,3.92661722,1.34731822,-1.97768204,1.06122523,1.56053795,6.25755262,1.52626083,1.37791996,4.20413346,-0.04581934,-2.49243879,-0.99202784,0.09898855,-2.05822426,2.66006278,-1.41000335,17.9154994,-115.34166073,-97.42616133
3,0.06,-1.99557571,0.05858652,0.14641075,0.95390481,3.07686448,1.00180503,1.57959654,0.07103799,0.9856863,-2.05597333,-0.50263878,-0.86957322,1.94186713,3.79707742,-0.93641554,-0.09791323,-7.08801158,-1.65752295,-1.43402684,0.71576583,6.09492442,2.55436621,1.46529331,-0.81808753,3.88549281,1.36722869,-2.13731051,0.92769547,1.591182,6.28450649,1.53799391,1.31754207,4.15333647,-0.06412997,-2.58714891,-0.83892351,0.15423369,-2.0859441,2.86824608,-1.36144869,18.85973984,-116.64988041,-97.79014057
4,0.08,-1.99217136,0.07752295,0.19393311,0.93983935,3.11062897,1.00363282,1.79949596,0.11406154,0.97357825,-2.07298972,-0.71295314,-0.83289409,1.92336713,3.7947859,-0.91343843,-0.13131504,-7.11647591,-1.64315671,-1.41243854,0.72084461,6.12346238,2.53764641,1.3886398,-0.85359418,3.84101581,1.38432372,-2.31329702,0.77875607,1.6220518,6.31025733,1.54884119,1.25761889,4.10065127,-0.0793667,-2.68128517,-0.68438066,0.21389166,-2.112656,3.10250223,-1.30893649,20.16604771,-118.49855041,-98.3325027
5,0.1,-1.98782178,0.09618403,0.24094649,0.92636383,3.14895718,1.00647974,2.03631042,0.17401831,0.95694576,-2.08933014,-0.9567558,-0.80242206,1.90533539,3.79182158,-0.88959236,-0.16520311,-7.14451042,-1.62868973,-1.39104434,0.72583963,6.15047554,2.52023395,1.31281502,-0.88737457,3.79283704,1.39823259,-2.50786102,0.60776822,1.65312996,6.33481432,1.55883614,1.19815788,4.04608867,-0.09148512,-2.77486969,-0.52682421,0.27856265,-2.13826123,3.37121514,-1.25032393,21.93694503,-121.11030295,-99.17335792
6,0.12,-1.98253641,0.1145812,0.28752351,0.91344306,3.19220536,1.01075951,2.29165883,0.25902249,0.93500425,-2.10515177,-1.24631565,-0.78182905,1.88778907,3.78817412,-0.86490071,-0.19963943,-7.17211895,-1.61412366,-1.36983959,0.73075353,6.17598054,2.50216209,1.23782323,-0.91955568,3.74056411,1.40842439,-2.72296709,0.40511815,1.68439978,6.35818677,1.56801115,1.13916486,3.98966204,-0.10040873,-2.8676064,-0.36462586,0.34905021,-2.16260393,3.68661271,-1.18185207,24.32779587,-124.88928361,-100.56148774
7,0.14,-1.97632328,0.13272521,0.333734,0.90104115,3.24074508,1.01709134,2.56505404,0.38186917,0.90666954,-2.12071469,-1.59967812,-0.77818307,1.87074478,3.78383194,-0.83939607,-0.2346857,-7.19930523,-1.59946011,-1.34881935,0.73558888,6.19999395,2.48346151,1.16365347,-0.95026916,3.68377863,1.41413245,-2.9588653,0.15650245,1.71584515,6.38038407,1.57639727,1.08064446,3.93139474,-0.1060283,-2.95877593,-0.19615375,0.42645664,-2.18542341,4.06669601,-1.09635443,27.57766298,-130.66042922,-103.08276624
8,0.16,-1.96918904,0.15062606,0.37964577,0.88912013,3.29488634,1.02641714,2.84976714,0.5624603,0.87042395,-2.13648858,-2.04217134,-0.80659755,1.85421835,3.77878222,-0.81312321,-0.27040226,-7.22607292,-1.58470061,-1.32797831,0.7403482,6.22253196,2.46416019,1.09027606,-0.97965222,3.62210419,1.41423821,-3.21007409,-0.1593558,1.74745061,6.40141572,1.58402393,1.02260069,3.87132977,-0.10820304,-3.04710866,-0.01991985,0.51231678,-2.20624732,4.53674271,-0.97860162,32.04869477,-140.46296267,-108.4142679
9,0.18,-1.961139,0.16829294,0.42532516,0.87763748,3.3546631,1.04016358,3.12231219,0.82926443,0.82420952,-2.15343086,-2.5993051,-0.90510073,1.83822457,3.773011,-0.78614331,-0.30684493,-7.25242552,-1.56984667,-1.3073105,0.74503389,6.24360992,2.44428333,1.0176371,-1.00784831,3.5554096,1.40711455,-3.45494228,-0.57187156,1.77920123,6.4212913,1.59091884,0.96503783,3.8095419,-0.10676623,-3.13069558,0.16511342,0.60870468,-2.22411296,5.12220348,-0.79042152,38.20357354,-161.52101607,-123.31744253
10,0.2,-1.95217716,0.18573414,0.47083606,0.86654235,3.41929187,1.06035936,3.31935921,1.210514,0.76595758,-2.17399835,-3.208839,-1.2165372,1.82277679,3.76650329,-0.75853874,-0.34405731,-7.27836644,-1.55489973,-1.28680899,0.74964814,6.2632418,2.42385318,0.94564994,-1.0350067,3.48433926,1.39052145,-3.63244,-1.10932399,1.81108266,6.44002048,1.59710827,0.90796155,3.74614984,-0.10153889,-3.20709644,0.35903761,0.71770379,-2.23655493,5.76076969,-0.38877844,45.83107108,-250.00488382,-204.17381275
