,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,xPosition4,yPosition4,xVelocity4,yVelocity4,xPosition5,yPosition5,xVelocity5,yVelocity5,xPosition6,yPosition6,xVelocity6,yVelocity6,xPosition7,yPosition7,xVelocity7,yVelocity7,xPosition8,yPosition8,xVelocity8,yVelocity8,xPosition9,yPosition9,xVelocity9,yVelocity9,KineticEnergy,Potential,Energy
10,0.2004,-1.95120366,0.18560533,0.4792742,0.86223739,3.51542194,1.19719573,1.57844097,8.31908571,0.76409426,-2.39939856,2.38418576,-4.7460061,1.82299901,3.76631282,-0.75242651,-0.34618197,-7.27878127,-1.55457576,-1.28545365,0.74997503,6.26183443,2.42239094,0.92788456,-1.0451022,3.39683313,1.23598589,-1.80996578,-8.43361083,1.81195267,6.43899626,1.59902875,0.89353005,3.73617909,-0.08197325,-3.29049902,0.59192056,0.72067039,-2.0105394,0.16953073,3.15415237,102.32350676,-199.5946764,-97.27116964
11,0.22044,-1.9411344,0.20277328,0.5256479,0.85118401,3.4589912,1.32899998,-4.55219458,3.97672428,0.81066865,-2.48368329,2.2694828,-3.76302259,1.80820581,3.75899336,-0.72383789,-0.38441056,-7.30433646,-1.5395003,-1.26499078,0.75455021,6.27969481,2.40117303,0.85463867,-1.07227814,3.4487747,1.0999252,4.33473077,-4.29003933,1.84405385,6.45632245,1.60457126,0.8357177,3.66950953,-0.06777253,-3.36234398,0.82801007,0.72557232,-1.95723119,0.31429582,2.26356435,59.6254176,-156.67681715,-97.05139955
12,0.24048,-1.93013526,0.21972291,0.57208656,0.84044898,3.37118279,1.3816684,-4.11006483,1.68427332,0.85523901,-2.55258182,2.1822768,-3.15001824,1.79399206,3.75089971,-0.69459538,-0.42351159,-7.32948316,-1.52433384,-1.2446862,0.75905804,6.2960913,2.37942052,0.78181619,-1.09848953,3.5322841,1.03879891,3.89580507,-2.21912578,1.87625952,6.47249518,1.6094596,0.77840952,3.60148106,-0.04864169,-3.42442041,1.08507427,0.73308857,-1.91744829,0.43232261,1.743881,39.74165528,-136.75946277,-97.01780749
13,0.26052,-1.91820433,0.23646058,0.61865136,0.83002939,3.29439956,1.4047671,-3.57367701,0.72615239,0.89824968,-2.61098269,2.11249214,-2.69717961,1.78037015,3.74201164,-0.66479579,-0.46371266,-7.35422451,-1.50907768,-1.22453527,0.76350155,6.31103291,2.35715058,0.70942717,-1.12394845,3.60464282,1.00256907,3.34237862,-1.50518856,1.90855671,6.48752442,1.61370766,0.72159785,3.53238848,-0.02413988,-3.4671915,1.36339232,0.74278852,-1.88628314,0.53354261,1.38535578,31.62973605,-128.64161834,-97.0118823
14,0.28056,-1.90533847,0.25299254,0.66540173,0.81991731,3.22713513,1.41336481,-3.1569114,0.17205748,0.93998227,-2.66126052,2.05395191,-2.33166021,1.76734989,3.7323063,-0.6345697,-0.50508239,-7.37856353,-1.49373311,-1.20453307,0.76788302,6.3245274,2.33437667,0.63737712,-1.14880631,3.66688403,0.97576311,2.88213873,-1.21254661,1.94093278,6.50142015,1.61733502,0.66528505,3.46268877,0.00611009,-3.48421102,1.65768907,0.75440173,-1.86134005,0.62402067,1.11526359,27.27332781,-124.28322849,-97.00990068
15,0.3006,-1.89153343,0.26932487,0.71239152,0.81010465,3.1672881,1.41276605,-2.82771726,-0.21297382,0.98062244,-2.70479249,2.00299424,-2.02002843,1.75493871,3.72175992,-0.60402563,-0.54765282,-7.40250315,-1.47830133,-1.18467498,0.7722044,6.33658066,2.31110977,0.56557816,-1.17316157,3.72054405,0.95279652,2.48002765,-1.09957984,1.97337551,6.51419239,1.62036434,0.60947209,3.39293555,0.04236258,-3.47225248,1.96132197,0.76775156,-1.84121828,0.70731442,0.90029337,24.61455966,-121.62357005,-97.0090104
16,0.32064,-1.87678389,0.28546349,0.75967081,0.80058494,3.11340723,1.40537329,-2.55769075,-0.51517879,1.02029726,-2.74246143,1.95729653,-1.74427631,1.74314207,3.71034819,-0.57325202,-0.59144845,-7.42604623,-1.46278355,-1.16495667,0.77646742,6.347197,2.28735927,0.49396225,-1.19707919,3.76647885,0.93111908,2.10757281,-1.07374632,2.00587315,6.52585112,1.62281937,0.55415726,3.32371672,0.08473969,-3.43105945,2.26797629,0.78271785,-1.82500916,0.7856371,0.72254314,22.90239787,-119.91093884,-97.00854097
17,0.34068,-1.86108357,0.30141424,0.80728708,0.79135386,3.06450562,1.39239665,-2.32832104,-0.77510214,1.05909542,-2.77486987,1.91528602,-1.49361229,1.73196383,3.69804631,-0.5423203,-0.63649539,-7.44919552,-1.4471809,-1.1453741,0.78067366,6.35637956,2.26313349,0.42248108,-1.22059992,3.80510396,0.909485,1.74860882,-1.08980162,2.03841443,6.53640631,1.62472403,0.499336,3.25559977,0.13325121,-3.36281524,2.5729411,0.79921651,-1.81208244,0.86044364,0.57130673,21.80880548,-118.81707724,-97.00827176
18,0.36072,-1.84442527,0.31718287,0.85528589,0.7824092,3.01989912,1.37443275,-2.1273645,-1.01601921,1.09707897,-2.80244583,1.87583678,-1.26104357,1.72140655,3.68482889,-0.51128691,-0.68282469,-7.47195371,-1.43149451,-1.12592352,0.78482462,6.36413072,2.23844013,0.35110319,-1.24374539,3.83659729,0.88733197,1.39491442,-1.12232488,2.07098857,6.54586776,1.62610202,0.4450011,3.18909006,0.1878368,-3.27140238,2.87406967,0.81718769,-1.80198083,0.93273501,0.43965315,21.18270667,-118.1908237,-97.00811703
19,0.38076,-1.82680086,0.33277511,0.9037113,0.77375081,2.97910858,1.35169139,-1.94628054,-1.25437135,1.13429039,-2.82550087,1.83810369,-1.04174833,1.71147184,3.67066988,-0.48019469,-0.73047388,-7.4943234,-1.41572549,-1.10660145,0.78892166,6.37045235,2.21328664,0.27981039,-1.26652141,3.86102279,0.86449538,1.04289713,-1.15606297,2.10358524,6.55424514,1.62697656,0.39114288,3.12460453,0.24842539,-3.16165084,3.1725646,0.83658855,-1.79436256,1.00322844,0.32279798,20.9651238,-117.97316777,-97.00804396
