,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,xPosition4,yPosition4,xVelocity4,yVelocity4,xPosition5,yPosition5,xVelocity5,yVelocity5,xPosition6,yPosition6,xVelocity6,yVelocity6,xPosition7,yPosition7,xVelocity7,yVelocity7,xPosition8,yPosition8,xVelocity8,yVelocity8,xPosition9,yPosition9,xVelocity9,yVelocity9,KineticEnergy,Potential,Energy
10,0.2001,-1.95134682,0.1853448,0.47857093,0.86223994,3.51485773,1.19521648,1.70422169,8.30317981,0.90893835,-2.27249907,4.65865256,-1.39183211,1.82322516,3.76641681,-0.75284205,-0.34558744,-7.27839545,-1.55480072,-1.28575209,0.74990663,6.26155489,2.42270372,0.92898047,-1.04469879,3.39747411,1.2379871,-1.93578667,-8.41496165,1.81147312,6.43872727,1.59894213,0.89439784,3.73716107,-0.08213787,-3.28936443,0.58852497,0.57505783,-2.13695852,-2.10562255,-0.20116921,97.43591177,-201.67586915,-104.23995738
11,0.2201,-1.94131362,0.202476,0.52473582,0.85091329,3.45850562,1.32763492,-4.62694471,3.96852134,0.99048097,-2.295364,3.58774382,-0.94102429,1.80845268,3.75912521,-0.72430097,-0.38367396,-7.30390582,-1.53975681,-1.26530988,0.75447223,6.27940309,2.4015365,0.85588949,-1.07185119,3.44934877,1.10138112,4.40982903,-4.27850348,1.84350851,6.45603742,1.60448673,0.83670542,3.67064907,-0.06804185,-3.36102112,0.823696,0.54487072,-2.14502851,-1.0051082,-0.55925535,55.48133208,-159.72040735,-104.23907527
12,0.2401,-1.93035786,0.21938279,0.57083132,0.83980604,3.36964933,1.3795017,-4.15696455,1.63692479,1.05467276,-2.31121384,2.86571504,-0.66002439,1.79425764,3.75106416,-0.69509712,-0.42259798,-7.32900884,-1.52462229,-1.24501702,0.75896784,6.29579343,2.37983604,0.78322363,-1.09805565,3.53392704,1.04114784,3.94362855,-2.1676013,1.87564826,6.47219887,1.60938178,0.77952284,3.60278516,-0.04904856,-3.42285976,1.07935213,0.53263307,-2.15824672,-0.25284187,-0.7462943,35.59814492,-139.83726686,-104.23912193
13,0.2601,-1.91848052,0.23606999,0.61690328,0.82896021,3.29228646,1.40156884,-3.60184587,0.67667803,1.10604204,-2.32220361,2.2868108,-0.4465264,1.78065255,3.74221416,-0.66532995,-0.46258755,-7.35370748,-1.50939855,-1.2248708,0.76339594,6.31073491,2.35761914,0.71098776,-1.12352623,3.60690068,1.00607153,3.3723371,-1.45021981,1.90787954,6.48722168,1.61364122,0.72284199,3.53386381,-0.02473002,-3.46544942,1.35554229,0.53382801,-2.17443316,0.35681587,-0.86455849,27.87955792,-132.11869034,-104.23913242
14,0.2801,-1.90568151,0.25254317,0.66300737,0.81840949,3.22471359,1.40918485,-3.17382585,0.12532793,1.14656901,-2.32929845,1.77247363,-0.26708894,1.76764731,3.7325531,-0.63513197,-0.50371026,-7.37800463,-1.49408689,-1.20486844,0.76775863,6.32423514,2.33489887,0.63908242,-1.14841336,3.6695093,0.98041158,2.90228131,-1.15841889,1.94018981,6.50111591,1.61728476,0.66666455,3.46433731,0.00527441,-3.48262851,1.64689079,0.54648468,-2.19259655,0.90232527,-0.94741995,24.10738805,-128.34652345,-104.23913541
15,0.3002,-1.89188869,0.26888935,0.70943268,0.80813241,3.16444581,1.40766005,-2.83534598,-0.25806097,1.17720587,-2.33302457,1.27649792,-0.10610864,1.75518896,3.72200337,-0.60445933,-0.54621256,-7.40202165,-1.47861142,-1.18490849,0.77207923,6.33635652,2.31156856,0.56705859,-1.17293417,3.72365431,0.9584589,2.49278632,-1.04607668,1.97272901,6.5139527,1.6203489,0.61071347,3.39440095,0.04139791,-3.47136335,1.94839975,0.56992892,-2.21229485,1.42995274,-1.00993183,22.24106927,-126.4802057,-104.23913644
16,0.3202,-1.8772369,0.28495263,0.75577719,0.79825642,3.11057959,1.39941462,-2.55954186,-0.5569254,1.19771373,-2.33364469,0.76900326,0.04264158,1.74340698,3.71064628,-0.57370654,-0.58969691,-7.42552238,-1.46312736,-1.16518726,0.77631672,6.3469825,2.28786948,0.4955623,-1.19690731,3.76972403,0.93788603,2.11786572,-1.02102448,2.00516169,6.52561444,1.6228269,0.5555427,3.32532385,0.08339236,-3.43175802,2.25106284,0.60386692,-2.23300379,1.96915832,-1.05926616,21.64615716,-125.88529381,-104.23913665
17,0.3402,-1.8616562,0.30082207,0.80233296,0.78875109,3.06178882,1.38565787,-2.32524889,-0.81404153,1.20761102,-2.33136527,0.20751393,0.18435404,1.73224176,3.69840738,-0.54279354,-0.63439914,-7.44863006,-1.44755914,-1.14560294,0.78049474,6.3561798,2.26369484,0.42418469,-1.22049406,3.80847096,0.917345,1.75851182,-1.03752013,2.03763845,6.53617771,1.62475921,0.50086704,3.25730452,0.13142904,-3.36612003,2.55210662,0.64905094,-2.25460951,2.56246279,-1.10011866,22.19028778,-126.42942398,-104.23913621
18,0.3602,-1.84514175,0.31650527,0.84916307,0.77963393,3.01737802,1.36697508,-2.11982435,-1.05262942,1.20523225,-2.32630649,-0.47360297,0.32049346,1.72169592,3.68526198,-0.51177736,-0.68035171,-7.4713474,-1.43190795,-1.12615341,0.7846153,6.36395046,2.23905216,0.35289301,-1.24371356,3.84010932,0.89627665,1.40603112,-1.07062101,2.07014858,6.54565236,1.62616922,0.44667827,3.19082721,0.18545397,-3.27828297,2.84986239,0.70714739,-2.27696304,3.27538465,-1.13396766,24.19379185,-128.43292622,-104.23913437
19,0.3802,-1.82768742,0.3320101,0.89633246,0.77091726,2.97686233,1.34356652,-1.93450259,-1.28909317,1.18691746,-2.31861649,-1.42633682,0.44502115,1.71177106,3.67118471,-0.48070176,-0.72759348,-7.49367708,-1.4161749,-1.10683653,0.78868042,6.37029597,2.21394872,0.28166828,-1.26656927,3.86473066,0.87450964,1.05639975,-1.105487,2.10268188,6.55404802,1.62707975,0.39296582,3.12629021,0.24541161,-3.17290218,3.14596744,0.78181493,-2.29988794,4.25979965,-1.15480916,28.95458078,-133.19370721,-104.23912644
