,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,KineticEnergy,Potential,Energy
0,0.0,3.0,0.0,0.7071,0.7071,-3.0,0.0,-0.7071,-0.7071,5.99988492,-60.0,-54.00011508
1,0.02,3.0138097,0.01414148,0.67392099,0.70702216,-3.0138097,-0.01414148,-0.67392099,-0.70702216,5.72429898,-59.72441414,-54.00011515
2,0.04,3.02695882,0.02827987,0.64103961,0.70679142,-3.02695882,-0.02827987,-0.64103961,-0.70679142,5.46291537,-59.46303059,-54.00011522
3,0.06,3.03945315,0.04241215,0.60843987,0.70641169,-3.03945315,-0.04241215,-0.60843987,-0.70641169,5.21529928,-59.21541456,-54.00011528
4,0.08,3.05129818,0.05653537,0.57610635,0.70588656,-3.05129818,-0.05653537,-0.57610635,-0.70588656,4.98104622,-58.98116156,-54.00011534
5,0.1,3.06249908,0.07064666,0.54402427,0.70521931,-3.06249908,-0.07064666,-0.54402427,-0.70521931,4.75978009,-58.75989548,-54.00011539
6,0.12,3.07306073,0.08474322,0.51217932,0.70441293,-3.07306073,-0.08474322,-0.51217932,-0.70441293,4.55115143,-58.55126687,-54.00011544
7,0.14,3.08298774,0.09882227,0.48055774,0.70347014,-3.08298774,-0.09882227,-0.48055774,-0.70347014,4.35483587,-58.35495136,-54.00011549
8,0.16,3.09228444,0.11288113,0.4491462,0.70239338,-3.09228444,-0.11288113,-0.4491462,-0.70239338,4.17053267,-58.1706482,-54.00011553
9,0.18,3.1009549,0.12691713,0.4179318,0.70118489,-3.1009549,-0.12691713,-0.4179318,-0.70118489,3.99796341,-57.99807897,-54.00011557
10,0.2,3.10900294,0.14092767,0.38690203,0.69984662,-3.10900294,-0.14092767,-0.38690203,-0.69984662,3.83687083,-57.83698644,-54.0001156
11,0.22,3.11643213,0.15491015,0.35604474,0.69838034,-3.11643213,-0.15491015,-0.35604474,-0.69838034,3.68701776,-57.68713339,-54.00011564
12,0.24,3.12324579,0.16886204,0.3253481,0.6967876,-3.12324579,-0.16886204,-0.3253481,-0.6967876,3.5481861,-57.54830177,-54.00011567
