,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,KineticEnergy,Potential,Energy
0,0.0,3.0,0.0,-2.2361,-2.2361,-3.0,0.0,2.2361,2.2361,60.00171852,-60.0,0.00171852
1,0.02,2.95494133,-0.04472031,-2.26993647,-2.23584396,-2.95494133,0.04472031,2.26993647,2.23584396,60.90965885,-60.90794021,0.00171864
2,0.04,2.90919568,-0.08943014,-2.30480443,-2.23504422,-2.90919568,0.08943014,2.30480443,2.23504422,61.84527686,-61.84355809,0.00171877
3,0.06,2.86274204,-0.13411813,-2.34074248,-2.23365009,-2.86274204,0.13411813,2.34074248,2.23365009,62.80960835,-62.80788946,0.00171889
4,0.08,2.8155586,-0.17877183,-2.37779015,-2.23160623,-2.8155586,0.17877183,2.37779015,2.23160623,63.80371417,-63.80199517,0.00171901
5,0.1,2.76762278,-0.22337766,-2.4159878,-2.22885226,-2.76762278,0.22337766,2.4159878,2.22885226,64.82867666,-64.82695754,0.00171912
6,0.12,2.71891117,-0.26792076,-2.45537637,-2.22532231,-2.71891117,0.26792076,2.45537637,2.22532231,65.88559511,-65.88387589,0.00171922
7,0.14,2.66939954,-0.31238491,-2.49599727,-2.22094446,-2.66939954,0.31238491,2.49599727,2.22094446,66.97557992,-66.97386061,0.00171932
8,0.16,2.61906281,-0.35675238,-2.537892,-2.21564025,-2.61906281,0.35675238,2.537892,2.21564025,68.09974526,-68.09802586,0.0017194
9,0.18,2.56787511,-0.40100379,-2.5811019,-2.20932409,-2.56787511,0.40100379,2.5811019,2.20932409,69.25919989,-69.25748042,0.00171947
10,0.2,2.51580972,-0.44511799,-2.62566767,-2.20190264,-2.51580972,0.44511799,2.62566767,2.20190264,70.45503592,-70.45331641,0.00171951
11,0.22,2.46283912,-0.48907187,-2.67162888,-2.19327418,-2.46283912,0.48907187,2.67162888,2.19327418,71.68831502,-71.68659548,0.00171954
12,0.24,2.40893503,-0.5328402,-2.71902334,-2.1833279,-2.40893503,0.5328402,2.71902334,2.1833279,72.96005169,-72.95833217,0.00171953
13,0.26,2.35406842,-0.57639543,-2.76788634,-2.17194323,-2.35406842,0.57639543,2.76788634,2.17194323,74.27119318,-74.26947369,0.00171948
14,0.28,2.2982096,-0.6197075,-2.8182498,-2.1589891,-2.2982096,0.6197075,2.8182498,2.1589891,75.62259531,-75.62087592,0.00171939
15,0.3,2.24132827,-0.66274361,-2.87014114,-2.14432324,-2.24132827,0.66274361,2.87014114,2.14432324,77.01499387,-77.01327462,0.00171925
16,0.32,2.18339365,-0.70546802,-2.92358203,-2.12779147,-2.18339365,0.70546802,2.92358203,2.12779147,78.44897066,-78.44725162,0.00171904
17,0.34,2.12437458,-0.74784176,-2.97858696,-2.10922703,-2.12437458,0.74784176,2.97858696,2.10922703,79.92491363,-79.92319487,0.00171876
18,0.36,2.06423973,-0.78982239,-3.03516141,-2.08845005,-2.06423973,0.78982239,3.03516141,2.08845005,81.44297033,-81.44125194,0.00171839
19,0.38,2.00295772,-0.83136376,-3.09329993,-2.06526703,-2.00295772,0.83136376,3.09329993,2.06526703,83.00299391,-83.00127599,0.00171791
20,0.4,1.94049745,-0.8724157,-3.15298375,-2.03947059,-1.94049745,0.8724157,3.15298375,2.03947059,84.60448105,-84.60276373,0.00171732
21,0.42,1.87682832,-0.91292374,-3.21417822,-2.01083944,-1.87682832,0.91292374,3.21417822,2.01083944,86.24650111,-86.24478453,0.00171658
22,0.44,1.81192063,-0.95282886,-3.27682973,-1.9791386,-1.81192063,0.95282886,3.27682973,1.9791386,87.92761613,-87.92590045,0.00171568
